grad 2000
2;17.943784
2;17.773215
2;17.866617
2;17.859604
2;17.663850
4;16.144178
4;16.173389
4;16.160526
4;16.216597
4;16.158718
8;16.399514
8;16.588500
8;16.113212
8;16.038323
8;16.209862
16;17.822942
16;17.805693
16;17.776409
16;17.801797
16;17.819217

grad 7000
2;211.280579
2;216.063614
2;211.867208
2;211.748489
2;212.112857
4;193.133439
4;195.308042
4;192.950257
4;193.125911
4;192.861434
8;196.442329
8;193.981706
8;69.204315
8;67.580600
8;68.335375

note reiniciado grad 7000
2;212.721269
4;196.769330
8;193.228721
16;197.430713

grad 7000 otimizada -O3
2;66.165218
4;65.212409
8;67.098208
16;70.887298
